,Country,HealthExpenditurePercentage,Region,Population
50,El Salvador,10.308981682763005,North America,6255781
70,Honduras,9.99920390181432,North America,10289882
125,Panama,9.773040928847854,North America,4345410
9,Bahamas,9.148087645257059,North America,396381
117,Nicaragua,9.009370673276013,North America,6644745
37,Costa Rica,8.784565192298038,North America,5059992
137,Saint Lucia,7.529900511296201,North America,178540
12,Barbados,7.438953173261035,North America,282156
163,Trinidad and Tobago,7.147547008950374,North America,1487715
80,Jamaica,7.009687505023739,North America,2837682
65,Guatemala,6.628612154858933,North America,17598654
45,Dominica,6.446676480244122,North America,67223
104,Mexico,6.398200246334939,North America,127648152
64,Grenada,6.150611121943488,North America,116695
136,Saint Kitts and Nevis,5.762575093718385,North America,46786
15,Belize,5.750434410734879,North America,395356
3,Antigua and Barbuda,5.67863867384673,North America,92358
46,Dominican Republic,5.210972097202206,North America,11123480
138,Saint Vincent and the Grenadines,5.1207692700991165,North America,102848
69,Haiti,3.385415674256841,North America,11374592
167,Tuvalu,26.28117814767519,Oceania,10214
124,Palau,18.441703578684184,Oceania,17809
113,Nauru,13.964464634339201,Oceania,11726
85,Kiribati,12.659709206114995,Oceania,128386
6,Australia,12.188637305301391,Oceania,25956416
101,Marshall Islands,11.085822657646968,Oceania,41386
105,Micronesia (country),10.847433545114246,Oceania,111636
116,New Zealand,10.72678988512832,Oceania,5107696
162,Tonga,5.622674911555166,Oceania,105504
139,Samoa,5.488572589955347,Oceania,213792
149,Solomon Islands,4.6718984155958525,Oceania,762594
175,Vanuatu,4.206155262698079,Oceania,305883
55,Fiji,4.060287924106221,Oceania,916717
126,Papua New Guinea,2.6561838195094927,Oceania,10012899
21,Brazil,10.839584560025244,South America,209550291
4,Argentina,10.609621641712229,South America,45312283
32,Chile,10.147842311607967,South America,19456323
34,Colombia,10.000214847729854,South America,51188174
173,Uruguay,9.561614388375135,South America,3396692
48,Ecuador,8.9890957543105,South America,17682454
18,Bolivia,8.292627032032701,South America,11937369
127,Paraguay,7.959638428780083,South America,6684184
155,Suriname,7.144085160953454,South America,617905
128,Peru,6.733540150369918,South America,33155883
68,Guyana,5.810789034454762,South America,815484
